DepartmentID,DepartmentNM,DepartmentSpecialtyDSC,ICU,FirstICUDate,LastICUDate
1,INITIAL DEPT,,No,,
6,MODEL OVERFLOW,,No,,
11,MATTY TEST,,No,,
12,MGP GI ONC MULT WAC4,,No,,
13,MGP GI RONC MULT WAC4,,No,,
14,AMS CLINIC,Cardiology,No,,
16,GENERIC EXTERNAL DATA DEPARTMENT,,No,,
37,TEST,,No,,
54,GASG,,No,,
55,PHS PATIENT TESTING,,No,,
56,POS TEST LINK,,No,,
57,TEST POS LINKING,,No,,
77,MGH DEPARTMENT,,No,,
101,MGH BDWY RHC,Nutrition,No,,
106,BWF HEALTH INFO MGMT,,No,,
107,BWF HEALTH INFO MGMT,,No,,
130,MGH OPERATING ROOM,,No,,
136,PEC EPICCARE LINK,,No,,
146,BWH HEALTHPORT ROI,,No,,
156,NSM MACOMBER 4,,No,,
158,GGG,,No,,
163,MGH BIOBANK,,No,,
173,174,,No,,
174,PHS SYSTEM GENERATED,,No,,
175,DFCI SYSTEM GENERATED,,No,,
176,MEEI SYSTEM GENERATED,,No,,
181,PHS SCAN ONLY DEPT,,No,,
182,BWH JANNINE,,No,,
190,AMB PRACTICE LAB DEPT,,No,,
200,PEC OP TECHNICAL DR,,No,,
201,PEC IP TECHNICAL DR,,No,,
206,PB TEST DEPT,,No,,
210,MGH INTERPRETERS,,No,,
217,PHS MEDSPRING UCC,Urgent Care,No,,
9999,DFCI DEMO DEPT,,No,,
1012001,PHH NTH ENDICOTT,Home Health Services,No,,
1012002,PHH NTH TANNER CITY,Home Health Services,No,,
1012003,PHH NTH IRON WORKS,Home Health Services,No,,
1012004,PHH NTH LIGHTHOUSE,Home Health Services,No,,
1012005,PHH NTH COASTAL,Home Health Services,No,,
1012006,PHH NTH BEANTOWN,Home Health Services,No,,
1012007,PHH NTH LOGAN,Home Health Services,No,,
1012008,PHH NTH MIDDLESEX,Home Health Services,No,,
1012009,PHH NTH CONSTITUTION,Home Health Services,No,,
1012010,PHH STH MINUTEMAN,Home Health Services,No,,
1012011,PHH STH PAUL REVERE,Home Health Services,No,,
1012012,PHH STH MARATHON,Home Health Services,No,,
1012013,PHH STH REVOLUTION,Home Health Services,No,,
1012014,PHH STH ADAMS,Home Health Services,No,,
1012015,PHH STH BLUE HILLS,Home Health Services,No,,
1012016,PHH STH SACHEM,Home Health Services,No,,
1012017,PHH STH MAYFLOWER,Home Health Services,No,,
1012018,PHH MCH PEDI,Home Health Services,No,,
1012019,PHH SCHEDULING,Home Health Services,No,,
1012020,PHH INTAKE,Home Health Services,No,,
1012021,PHH BILLING ADMIN,Home Health Services,No,,
1012022,PHH PHYS THERAPY,Physical Therapy,No,,
1012023,PHH OCC THERAPY,Occupational Therapy,No,,
1012024,PHH SPEECH THERAPY,Speech Therapy,No,,
2109901,PHS IKS VIRTUAL,,No,,
10000001,EHS UM DEPT,,No,,
10000002,EHS CM DEPT,,No,,
10000003,EHS CLAIMS DEPT,,No,,
10000004,EHS PROVIDER DEPT,,No,,
10000005,EHS ENROLLMENT DEPT,,No,,
10000006,EHS PREMIUM BILL DEPT,,No,,
10000007,EHS CALL CENTER,Central Scheduling,No,,
10000008,EHS CUSTOMER SRV DEPT,,No,,
10000009,EHS CAPITATION DEPT,,No,,
10000010,EHS INTERPRETER SCHED,,No,,
10000011,EHS RESEARCH SUPPORT,,No,,
10000012,EHS EX INT REF LAB,,No,,
10000013,EHS EX NON-INT REF LAB,,No,,
10010001,EHS ROI DEPT,,No,,
10020001,EHS HOME HEALTH DEPT,Home Health Services,No,,
10020002,EHS HH HOSPICE,Hospice Services,No,,
10030001,EHS REFERENCE LAB,,No,,
10030002,EHS PUBLIC HEALTH LAB,,No,,
10101016,EMH BLOOD BANK,Lab,No,,
10101100,EMH EMERGENCY,Emergency Medicine,No,,
10101101,EMH LABOR & DELIVERY,Obstetrics and Gynecology,No,,
10101102,EMH MED SURG,,No,,
10101103,EMH OBSERVATION,,No,,
10101104,EMH HOSPITAL LAB,Lab,No,,
10101105,EMH GASTROENTEROLOGY,Gastroenterology,No,,
10101106,EMH ANATOMIC PATHOLOGY,Lab,No,,
10101107,EMH ADMITTING,,No,,
10101108,EMH IP PHARMACY,Pharmacy,No,,
10101109,EMH PRE-PROCEDURE,,No,,
10101110,EMH MAIN OR,,No,,
10101111,EMH RECOVERY,,No,,
10101112,EMH HEALTH INFO MGMT,,No,,
10101113,EMH PHASE II,,No,,
10101114,EMH PHYSICAL THERAPY,Physical Therapy,No,,
10101115,EMH PEDIATRICS,Pediatrics,No,,
10101116,EMH ICU,Intensive Care,Yes,20200301,20200406
10101117,EMH ANTEPARTUM,Obstetrics,No,,
10101118,EMH POSTPARTUM,,No,,
10101119,EMH NURSERY,,No,,
10101120,EMH PSYCHIATRY,Psychiatry,No,,
10101121,EMH NEONATAL ICU,Neonatology,No,,
10101122,EHS URGENT CARE,Urgent Care,No,,
10101123,EMH L&D PROCEDURE,Obstetrics,No,,
10101124,EMH CARDIAC ICU,Cardiac Intensive Care,Yes,20200301,20200406
10101125,EMH GENERAL SURGERY,General Surgery,No,,
10101126,EMH NEURO ICU,Neurological Intensive Care,Yes,20200301,20200406
10101127,EMH PEDIATRIC ICU,Pediatric Intensive Care,Yes,20200301,20200406
10101128,EMH SURGICAL ICU,Surgical Intensive Care,Yes,20200301,20200406
10101129,EMH TRANSPLANT,Transplant,No,,
10101130,EMH PULMONARY FUNC LAB,Pulmonology,No,,
10101131,EMH RESP THERAPY,Respiratory Therapy,No,,
10101133,EMH SLEEP LAB,Sleep Medicine,No,,
10101134,EMH OCC THERAPY,Occupational Therapy,No,,
10101135,EMH SPEECH PATHOLOGY,Speech Therapy,No,,
10101136,EMH DIALYSIS,Nephrology,No,,
10101138,EMH PHYS MED & REHAB,Physical Medicine and Rehabilitation,No,,
10101139,EMH ONCOLOGY,Medical Oncology,No,,
10101140,EMH PERIOP SERVICES,,No,,
10101141,EMH PSY DAY TREATMENT,Psychiatry,No,,
10101142,EMH PAIN MANAGEMENT,Pain Medicine,No,,
10101143,EMH PED GASTROENTEROLOGY,Pediatric Gastroenterology,No,,
10101144,EMH PED GENERAL SURGERY,Pediatric Surgery,No,,
10101145,EMH PED TRANSPLANT,Transplant,No,,
10101146,EMH PED URGENT CARE,Pediatric Emergency Medicine,No,,
10101147,EMH ANESTHESIA,Anesthesiology,No,,
10101148,EMH BURN,Burn Surgery,No,,
10101149,EMH HOSPICE CARE,,No,,
10101150,EMH ONCOLOGY PHARMACY,,No,,
10101151,EMH PRE-ADMISSION TESTING,Pre-Admission Testing,No,,
10101152,EMH BREAST IMAGING,Radiology,No,,
10101153,EMH DXA IMAGING,Radiology,No,,
10101154,EMH X-RAY IMAGING,Radiology,No,,
10101155,EMH US IMAGING,Radiology,No,,
10101156,EMH CT IMAGING,Radiology,No,,
10101157,EMH IR IMAGING,Radiology,No,,
10101158,EMH NUCLEAR MEDICINE,Radiology,No,,
10101159,EMH SOCIAL WORK,Social Services,No,,
10101160,EMH GI SERVICES,,No,,
10101161,EMH CASE MANAGEMENT,Social Services,No,,
10101162,EMH WOUND CARE,Wound Care,No,,
10101163,EMH SPIRITUAL CARE,Pastoral Care,No,,
10101164,EMH ISOLATION/INFECTIO,Infectious Diseases,No,,
10101165,EMH REMOTE ICU,Intensive Care,Yes,20200301,20200406
10101166,EMH INV IR IMAGING,Radiology,No,,
10101169,EMH BARIATRIC SURGERY,Bariatrics,No,,
10101170,EMH MRI IMAGING,Radiology,No,,
10101171,EMH VASCULAR LAB,Lab,No,,
10101172,EMH INFUSION THERAPY,Infusion Therapy,No,,
10101173,EMH MEDICINE SERVICES,,No,,
10101174,EMH SURGICAL SERVICES,,No,,
10101175,EMH CRITICAL CARE,,No,,
10101176,EMH OBSTETRICS SVCS,,No,,
10101177,EMH PEDIATRICS SVCS,,No,,
10101178,EMH NEONATAL SERVICES,Neonatology,No,,
10101182,EMH MATERNAL-FETAL MED,Maternal and Fetal Medicine,No,,
10101190,EMH NUTRITION,Nutrition,No,,
10101191,EMH ECT,Behavioral Health,No,,
10101500,EMH CARDIAC CATH LAB,Cardiology,No,,
10101501,EMH CARDIAC NIC,Cardiology,No,,
10101502,EMH CARDIAC SERVICES,Cardiology,No,,
10101503,EMH EP LAB,Cardiology,No,,
10101504,EMH CARDIAC REHAB,Cardiology,No,,
10101505,EMH NEUROLOGY,Neurology,No,,
10101999,EMH MONITOR ADMIN,,No,,
10103100,EMH HEM ONC,Hematology Oncology,No,,
10103200,EMH CHEMO INFUSION,Medical Oncology,No,,
10105001,EHS ASC,,No,,
10301001,EPH EMERGENCY,Emergency Medicine,No,,
10301002,EPH NEONATAL ICU,Emergency Medicine,No,,
10301003,EPH NUC MED IMAGING,,No,,
10301004,EPH ONCOLOGY,Pediatric Oncology,No,,
10301005,EPH PACU,,No,,
10301006,EPH MEDICAL,,No,,
10301007,EPH PHYS MED & REHAB,Pediatric Physical Medicine and Rehabilitation,No,,
10301008,EPH PEDIATRIC ICU,Pediatric Intensive Care,Yes,20200301,20200406
10301009,EPH PRE-OP,,No,,
10301010,EPH PSYCHIATRY,,No,,
10301011,EPH GENERAL SURGERY,Pediatric Surgery,No,,
10301012,EPH XR,Pediatric Radiology,No,,
10301013,EPH CT,Pediatric Radiology,No,,
10301014,EPH MR,Pediatric Radiology,No,,
10301015,EPH US,Pediatric Radiology,No,,
10302001,EPC ALLERGY,Pediatric Allergy,No,,
10302002,EPC AUDIOLOGY,Pediatric Audiology,No,,
10302003,EPC CARDIOLOGY,Pediatric Cardiology,No,,
10302004,EPC CARD-THORACIC SURG,Pediatric Cardiothoracic Surgery,No,,
